ds,yhat,yhat_lower,yhat_upper
2021-11-22,518140.9899647415,417693.2995411284,617143.7784509155
2021-11-23,526433.2222152655,418270.7813990165,620161.5560279647
2021-11-24,534751.4180631517,441730.1318220909,634755.5544470876
2021-11-25,542905.3729843914,452544.9619395447,648175.7186559299
2021-11-26,550569.9410089513,451602.93745169835,646153.7873960366
2021-11-27,558228.6923194402,462832.7108637837,667859.8267609675
2021-11-28,565205.0085330677,471373.757878841,663636.058523759
2021-11-29,571631.5937112655,476093.86582328327,671338.4489110159
2021-11-30,577334.3726480157,476743.3182625348,669266.7342605421
2021-12-01,582345.9180959822,486276.65219725,676242.0033232926
2021-12-02,586554.6965005088,485782.3637979624,689399.0306306159
2021-12-03,589737.8861420269,487541.85851546185,689606.1421356426
2021-12-04,592444.1913871132,488530.30947233975,693406.829183098
2021-12-05,594144.7536040772,500096.79448701104,698524.16338204
2021-12-06,595077.620279992,495529.9729328503,697546.9392051961
2021-12-07,595198.3595433019,496723.19280402525,692808.2954857236
2021-12-08,594658.0735747386,491538.6406890879,692587.6515506117
2021-12-09,593472.0711422701,488322.35745846154,693094.3379811879
2021-12-10,591548.0377268678,497288.18400475377,695242.0490723
2021-12-11,589507.4074504261,481660.6736122271,690471.3153971361
2021-12-12,586956.0329577228,487510.6304165516,684010.5661114121
2021-12-13,584204.0934634939,487353.03785788367,680506.223797381
2021-12-14,581284.4243653485,483406.45980308735,673992.042724417
2021-12-15,578396.600389842,479468.1617439123,681509.3680645891
2021-12-16,575596.9570995644,479668.0927117858,675556.6728860827
2021-12-17,572824.4164698664,476516.0610760257,671976.5011068905
2021-12-18,570663.034472686,474895.61083492555,665439.8795199939
2021-12-19,622136.3551844164,526336.3539651221,716570.4966847639
2021-12-20,675034.058583416,576769.0567419302,771160.9632061642
2021-12-21,729510.9409485788,630910.215230903,828588.8036230712
2021-12-22,785917.1244541443,687283.2421336186,893532.4670383396
2021-12-23,844443.7495150381,744969.925744541,936590.3393334504
2021-12-24,905091.456219845,802139.5056721228,998872.5094306223
2021-12-25,968809.6005761132,871247.3944112823,1067588.6874595454
2021-12-26,1035127.6392230367,935100.3462978316,1142671.5535716887
2021-12-27,1104512.221761956,1013839.30061299,1201234.4293985262
2021-12-28,1176979.9080647284,1081832.156265051,1270748.9983211018
2021-12-29,1252779.4783964802,1157631.0667882161,1361175.747312776
2021-12-30,1331872.0032201733,1231381.4488886155,1436968.733780532
2021-12-31,1413914.3891929942,1308450.818270508,1513502.7611638466
2022-01-01,1499837.7186702832,1404949.843009714,1596152.6069097198
2022-01-02,1588575.5609272586,1489245.2396527731,1691888.9346253674
2022-01-03,1680334.818773087,1582705.8599501746,1776226.8231434585
2022-01-04,1774698.3568785833,1670592.8433724027,1868297.873049963
2022-01-05,1871555.3321801727,1777615.4304924384,1973254.9634617053
2022-01-06,1970422.5619511483,1871793.4276722863,2065021.3605249664
2022-01-07,2070448.8120017964,1972416.6423156895,2160151.5182063594
2022-01-08,2172436.547519324,2073399.5649366616,2285738.003392105
2022-01-09,2274669.968381489,2171646.183678335,2369606.6872803476
2022-01-10,2377100.8642681274,2275430.694717657,2470804.6207703385
2022-01-11,2478940.8610081095,2375528.092023066,2578475.2480033413
2022-01-12,2579837.9755695374,2482221.221027275,2679417.1346907536
2022-01-13,2679036.074620643,2578749.792612174,2788852.624080264
2022-01-14,2775395.417978927,2675121.5398419984,2873568.182709001
2022-01-15,2869852.224695594,2765622.4026111346,2963171.6078809877
2022-01-16,2960339.9280282985,2862542.0999939134,3058901.486891893
2022-01-17,3046882.850512661,2950482.864606686,3148611.726734878
2022-01-18,3128670.435303163,3028950.323246226,3231684.6207099953
2022-01-19,3205472.1947789453,3110353.2121007843,3302572.9993329546
2022-01-20,3276627.4755234155,3175221.930536374,3376695.8528931444
2022-01-21,3341074.754570724,3240488.5894637997,3439837.7139040483
2022-01-22,3400242.0164940925,3310631.570928779,3498185.5382505893
2022-01-23,3452054.9132385524,3353523.933867657,3553237.8738116818
2022-01-24,3444211.834305484,3344672.418690724,3544222.988077121
2022-01-25,3429892.637877511,3331590.0615433194,3528644.937542352
2022-01-26,3409516.906919959,3310579.263226561,3514346.3947446453
2022-01-27,3383015.9742383943,3284358.201531039,3478009.418700029
2022-01-28,3349901.2221020847,3248118.768902891,3449461.971195255
2022-01-29,3312340.3733824966,3205694.503489734,3416896.683351526
2022-01-30,3268729.292571978,3168043.636712915,3368987.7311095884
2022-01-31,3220106.295144932,3113492.8147667344,3316571.7714773174
2022-02-01,3166480.5374611104,3062911.1511436915,3272918.7343006125
2022-02-02,3108543.0432703462,3008295.6215056838,3204883.4532623147
2022-02-03,3046461.2851514923,2947028.4732477176,3142405.914329143
2022-02-04,2979951.038218812,2872610.49316356,3076685.606440694
2022-02-05,2911465.4367007874,2815706.563474188,3008021.003958557
2022-02-06,2839533.0735333795,2740058.5548068257,2945869.89255018
