ds,yhat,yhat_lower,yhat_upper,Country
2021-03-31,55967.328247389116,48227.69438966795,63314.94866927543,India
2021-04-01,60086.63322912887,52709.37631823692,68018.4776950022,India
2021-04-02,64748.62199030001,56536.2918989356,72294.10460614417,India
2021-04-03,70303.92212974752,62390.8190531264,77989.30126390103,India
2021-04-04,76462.3469052003,69421.12555627277,84808.37934892696,India
2021-04-05,83279.69331884399,75568.61110350101,90766.39166895354,India
2021-04-06,90751.93036586384,82673.91785028428,98375.79546885198,India
2021-04-07,99030.05065512867,91251.57859075059,106394.40967194138,India
2021-04-08,107898.09881336906,100664.64983451975,115594.87120192703,India
2021-04-09,117342.02312660709,109206.73383322662,125040.38769586603,India
2021-04-10,127695.25056647196,120104.9215821817,136225.65820386124,India
2021-04-11,138549.4742706218,131048.70160025515,146079.99606365376,India
2021-04-12,149901.16182347163,142438.6551392264,157408.98984170286,India
2021-04-13,161676.3172688457,154690.9668364831,169386.1393429998,India
2021-04-14,173983.8216918557,165973.36056177443,181108.15408396788,India
2021-04-15,186517.9425831315,179021.50473739384,194242.20752182216,India
2021-04-16,199210.6123903352,191190.61086558033,206873.3169793021,India
2021-04-17,212394.37275709843,204512.3456908189,220337.6098275475,India
2021-04-18,225566.8115300804,218394.59808144433,233056.71168232267,India
2021-04-19,238694.2023191384,230866.63220492032,246255.26855917924,India
2021-04-20,251671.5551996013,243747.3658873713,259083.17681255034,India
2021-04-21,264608.3524050337,257231.32785466686,271976.6603402963,India
2021-04-22,277156.2581080023,269943.17577611574,284428.9339941256,India
2021-04-23,289243.80594617245,281293.6400663907,297310.7914950998,India
2021-04-24,301255.65972962254,293594.2329398613,308837.43985064287,India
2021-04-25,312649.63843188743,304533.1873406685,320677.8629601398,India
2021-04-26,323416.4416911127,316341.5212328406,331209.43736128876,India
2021-04-27,333473.9834336913,326042.8461652264,341275.10620087717,India
2021-04-28,342984.57765498594,335252.0140945466,351076.231325041,India
2021-04-29,351606.98285908176,344043.2808524361,359349.0625292054,India
2021-04-30,359312.72756635904,351596.27514888794,366756.02015012084,India
2021-05-01,366581.0234763329,359156.9383641298,374560.04558371234,India
2021-05-02,372867.830193312,365410.914166897,380251.8040055122,India
2021-05-03,378221.239488899,370935.98971622443,385860.7309298218,India
2021-05-04,382609.78762846754,375343.2270790901,390123.54216654366,India
2021-05-05,386270.9086201705,378900.1803231167,394230.68440782523,India
2021-05-06,388887.247924461,380569.6121015421,396291.5766903934,India
2021-05-07,390484.6707357863,382803.03344483743,398314.4116005123,India
2021-05-08,391642.9732342552,383871.6335813136,398815.05984309176,India
2021-05-09,391817.22231859877,384368.8168668269,399352.79600164737,India
2021-05-10,391109.1109469168,383144.3921078216,398105.4461789003,India
2021-05-11,389529.62501461996,382447.8239210432,397540.079022508,India
2021-05-12,379113.02159343375,371189.49975369667,386873.0145505814,India
2021-05-13,368137.67490525125,361182.0134509573,375421.06103267294,India
2021-05-14,356705.18383558583,349530.73207634484,364185.3618888924,India
2021-05-15,345458.63776484964,338023.63175996783,353029.38133405603,India
2021-05-16,333885.0153887155,326304.6485294937,341504.76508534496,India
